,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
0,Sant Petersburg,Biblioteca Nacional Russa,[Fons general. Codi: 322],Lat. O. III. 86 - Lat. Q. I. 137 - Lat. Q. III. 646 - Lat. Q. III. 691,
0,Budapest,Országos Széchényi Könyvtár,[Fons general. Codi: 274],201 - 202,
0,Sant Cugat del Vallès,Arxiu Nacional de Catalunya,"Llinatge Cartellà de Sabastida, barons de l'Albi",ANC1-168-T-1198,
1,Sant Cugat del Vallès,Arxiu Nacional de Catalunya,Fons general,ANC1-75. Reg. 4236,
2,Terrassa,Arxiu Comarcal del Vallès Occidental,Josep Soler i Palet,ACVOC90-153-T2-50,
0,Augsburg,Staats- und Stadtbibliothek,[Fons general. Codi: 44],Fol. Cod. 501 - 4º Cod. 63 - 2º Cod. 194 - 8º Cod. 127,
1,Berlín,Staatsbibliothek,Hisp. Quart.,63,
2,Berlín,Staatsbibliothek,Lat. fol.,187 - 192,
3,Berlín,Staatsbibliothek,Phill.,1911,
4,Berlín,Staatsbibliothek,Theol. lat. fol.,312,
5,Bernkastel-Kues,St. Nikolaus Hospital,[Fons general. Codi: 55],37 - 81 - 82 - 83 - 84 - 85 - 86 - 87 - 88 - 118,
6,Colònia,Historisches Archiv der Stadt Köln,[Fons general. Codi: 5],GB fol. 74 - GB fol. 144 - W 329,
7,Darmstadt,Hessische Landesbibliothek,[Fons general. Codi: 279],4225,
8,Dresden,Sächsische Landesbibliothek,[Fons general. Codi: 278],N 101 - N 177 - Oc61,
9,Düsseldorf,Universitäts- und Landesbibliothek,[Fons general. Codi: 280],B 121,
10,Erfurt,Universitätsbibliothek,Dep. Erf.,CA. 4° 116,
11,Erlangen,Universitätsbibliothek Erlangen-Nürnberg,[Fons general. Codi: 281],871 - 1158,
12,Freiburg i. B.,Universitätsbibliothek,[Fons general. Codi: 335],1450,
13,Gotha,Universitäts- und Forschungsbibliothek Erfurt/Gotha,Chart. B,1501 - 1502,
14,Gotha,Universitäts- und Forschungsbibliothek Erfurt/Gotha,Chart. A,1017,
15,Göttingen,Universitätsbibliothek,2º Cod. Luneb.,33,
16,Halle,Universitäts- und Landesbibliothek Sachsen-Anhalt,[Fons general. Codi: 82],Stolb.-Wernig. Za 3 - Yc 8º 7 - Yc 8º 9,
17,Karlsruhe,Badische Landesbibliothek,St. Peter perg.,92,
18,Karlsruhe,Badische Landesbibliothek,Reichenauer Hss.,Aug. Pap. 32 - Aug. Pap. 61,
19,Kassel,Landesbibliothek,Chem.,Folio 13 - Quarto 34,
20,Leipzig,Universitätsbibliothek,[Fons general. Codi: 332],1361 - 1362,
