,Ciutat,Biblioteca
0,Sant Petersburg,Biblioteca Nacional Russa
0,Budapest,Országos Széchényi Könyvtár
0,Sant Cugat del Vallès,Arxiu Nacional de Catalunya
1,Sant Cugat del Vallès,Arxiu Nacional de Catalunya
2,Terrassa,Arxiu Comarcal del Vallès Occidental
0,Augsburg,Staats- und Stadtbibliothek
1,Berlín,Staatsbibliothek
2,Berlín,Staatsbibliothek
3,Berlín,Staatsbibliothek
4,Berlín,Staatsbibliothek
5,Bernkastel-Kues,St. Nikolaus Hospital
6,Colònia,Historisches Archiv der Stadt Köln
7,Darmstadt,Hessische Landesbibliothek
8,Dresden,Sächsische Landesbibliothek
9,Düsseldorf,Universitäts- und Landesbibliothek
10,Erfurt,Universitätsbibliothek
11,Erlangen,Universitätsbibliothek Erlangen-Nürnberg
12,Freiburg i. B.,Universitätsbibliothek
13,Gotha,Universitäts- und Forschungsbibliothek Erfurt/Gotha
14,Gotha,Universitäts- und Forschungsbibliothek Erfurt/Gotha
15,Göttingen,Universitätsbibliothek
16,Halle,Universitäts- und Landesbibliothek Sachsen-Anhalt
17,Karlsruhe,Badische Landesbibliothek
18,Karlsruhe,Badische Landesbibliothek
19,Kassel,Landesbibliothek
20,Leipzig,Universitätsbibliothek
21,Magúncia,Martinus-Bibliothek (olim Priesterseminar)
22,Magúncia,Stadtbibliothek
23,Munic,Bayerische Staatsbibliothek
24,Munic,Bayerische Staatsbibliothek
25,Munic,Bayerische Staatsbibliothek
26,Munic,Bayerische Staatsbibliothek
27,Munic,Universitätsbibliothek
28,Münster,Universitäts- und Landesbibliothek
29,Speyer,Pfälzische Landesbibliothek
30,Stuttgart,Württembergische Landesbibliothek
31,Stuttgart,Württembergische Landesbibliothek
32,Trèveris,Stadtbibliothek
33,Überlingen,Leopold-Sophien-Bibliothek
34,Wolfenbüttel,Herzog August Bibliothek
0,Andorra la Vella,Arxiu Nacional d'Andorra
0,Graz,Universitätsbibliothek
1,Innsbruck,Landesmuseum Ferdinandeum
2,Klagenfurt,Bischöfliche Bibliothek
3,Salzburg,St. Peter
4,Salzburg,Universitätsbibliothek
5,St. Georgenberg-Fiecht,Bibliothek der Benediktinerabtei
6,Viena,Österreichische Nationalbibliothek
7,Viena,Österreichische Nationalbibliothek
0,Brussel·les,Bibliothèque Royale
1,Lieja,Bibliothèque de l'Université
2,Lovaina,Maurits Sabbebibliotheek
0,Toronto,Thomas Fisher Rare Book Library
0,Copenhaguen,Kongelige Bibliotek
1,Copenhaguen,Kongelige Bibliotek
2,Copenhaguen,Kongelige Bibliotek
0,El Caire,Centre d'Études Orientales Chrétiennes des Franciscains
0,Barcelona,Arxiu Capitular
1,Barcelona,Arxiu Capitular
2,Barcelona,Arxiu de la Corona d'Aragó
3,Barcelona,Arxiu de la Corona d'Aragó
4,Barcelona,Arxiu de la Corona d'Aragó
5,Barcelona,Arxiu de la Corona d'Aragó
6,Barcelona,Arxiu de la Corona d'Aragó
7,Barcelona,Arxiu de la Corona d'Aragó
8,Barcelona,Arxiu de la Corona d'Aragó
9,Barcelona,Arxiu General de la Diputació
10,Barcelona,Biblioteca de Catalunya
11,Barcelona,Biblioteca de Catalunya
12,Barcelona,Biblioteca de la Universitat de Barcelona
13,Barcelona,Biblioteca de l'Ateneu Barcelonès
14,Barcelona,Biblioteca Hispano-Caputxina
15,Barcelona,Col·leccions privades
16,Barcelona,Col·leccions privades
17,Barcelona,Col·leccions privades
18,Còrdova,Biblioteca Pública Provincial
19,El Escorial,Biblioteca del Real Monasterio
20,Girona,Arxiu Capitular
21,Las Palmas,Seminario Conciliar
22,Madrid,Archivo Histórico Nacional
23,Madrid,"Biblioteca de la Universidad Complutense, Biblioteca Histórica"
24,Madrid,Biblioteca del Palacio Real
25,Madrid,Biblioteca Nacional de España
26,Madrid,Real Academia de la Historia
27,Madrid,Real Academia de la Historia
28,Madrid,Real Academia de la Historia
29,Montserrat,Biblioteca del Monestir
30,Palma,Arxiu Capitular
31,Palma,Arxiu del Regne de Mallorca
32,Palma,Arxiu Diocesà
33,Palma,Arxiu Municipal
34,Palma,Arxiu Municipal
35,Palma,Biblioteca Balear (Monestir de la Real)
36,Palma,Biblioteca Bartolomé March
37,Palma,Biblioteca Bartolomé March
38,Palma,(Mss. que han quedat a Sant Francesc)
39,Palma,Biblioteca Diocesana de Mallorca
40,Palma,Biblioteca Diocesana de Mallorca
41,Palma,Biblioteca Ferran Capdebou
