Biblioteca,Ciutat,Manuscrits
(Mss. que han quedat a Sant Francesc),Palma,1 - 4 - 6 - 16
Academia das Ciências,Lisboa,ms. 184
Archiv Pražského hradu (olim: Knihovna Metropolitní Kapituli),Praga,L 13 - L 31
"Archives, University College",Dublin,B 45 - B 48 - B 84 - B 95 - B 100
Archivio Generale dei Carmelitani,Roma,III Varia 1
Archivio di Stato,Reggio-Emilia,7
Archivio di Stato,Torí,Jb-II-19
Archivo Histórico Nacional,Madrid,L.970 - lligall 970 - 4460/6
Archivo de la Catedral,Segovia,B 290 - B 332
Archivo de la Catedral,Tarassona,30
Arxiu Capitular,Barcelona,"6 - 178.8, s. n."
Arxiu Capitular,Girona,69
Arxiu Capitular,Palma,15530 - 15582 - 16012 - 16013 - 18166 - 18466 - 18471 - 18472
Arxiu Comarcal del Vallès Occidental,Terrassa,ACVOC90-153-T2-50
Arxiu Diocesà,Palma,"c. 2, l. 5 - c. 3, l. 1 - c. 3, l. 2 - c. 4, l. 1 - c. 7, l. 1 - c. 7, l. 2 - Ms. Amorós - Processos 4 - Processos 5 - s. n. - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 20 - 21 - 22 - 23 - 24 - 25 - 26 - 27 - 28 - 29 - 30 - 31 - 32 - 33 - 34 - 35 - 36 - 37 - 38 - 39 - 40 - 41 - 43 - 49 - 45-47"
Arxiu General de la Diputació,Barcelona,3385/9
Arxiu Municipal,Palma,"4 - 14 - 20 - 22 - 42 - 43 - 44 - 45 - 62, 27"
Arxiu Nacional d'Andorra,Andorra la Vella,1
Arxiu Nacional de Catalunya,Sant Cugat del Vallès,"ANC1-168-T-1198, ANC1-75. Reg. 4236"
Arxiu de la Corona d'Aragó,Barcelona,"692, 129 - 159, II-A-2 (a), reg. 2609, Frag. 89, II-A-2 (b), Lligall 64"
Arxiu de la sagrada congregació de ritus,Roma,"237, [Fons general. Codi: 137]"
Arxiu del Regne de Mallorca,Palma,"Lul·lisme 1 - Lul·lisme 2/1 - 333, doc. 11'"
Arxiu dels Marquesos de Santa Maria de Barberà,Vilassar de Dalt,C1-D6-1 - C2-E15-1
Arxiu ducal de Medinaceli,Sevilla,"llig. 1083, ""ramo"" 30, 1"
Badische Landesbibliothek,Karlsruhe,"92, Aug. Pap. 32 - Aug. Pap. 61"
Bayerische Staatsbibliothek,Munic,"4381 - 5936 - 10493 - 10494 - 10495 - 10496 - 10497 - 10498 - 10499 - 10500 - 10501 - 10502 - 10503 - 10504 - 10505 - 10506 - 10507 - 10508 - 10509 - 10510 - 10511 - 10512 - 10513 - 10514 - 10515 - 10516 - 10517 - 10518 - 10519 - 10520 - 10521 - 10522 - 10523 - 10524 - 10525 - 10526 - 10527 - 10528 - 10529 - 10530 - 10531 - 10532 - 10533 - 10534 - 10535 - 10536 - 10537 - 10538 - 10539 - 10540 - 10541 - 10542 - 10543 - 10544 - 10545 - 10546 - 10547 - 10548 - 10549 - 10550 - 10551 - 10552 - 10553 - 10554 - 10561 - 10562 - 10563 - 10564 - 10565 - 10566 - 10567 - 10568 - 10569 - 10570 - 10571 - 10573 - 10574 - 10575 - 10576 - 10577 - 10578 - 10579 - 10580 - 10581 - 10582 - 10583 - 10584 - 10585 - 10586 - 10587 - 10588 - 10589 - 10590 - 10591 - 10592 - 10593 - 10594 - 10595 - 10596 - 10597 - 10598 - 10599 - 10600 - 10601 - 10651 - 10652 - 10653 - 10654 - 10655 - 10661 - 11031 - 11032 - 14111 - 14260 - 14524 - 18445 - 18446 - 18988 - 18991 - 19820 - 19857 - 23802 - 23880 - 24111 - 24608 - 25103 - 25105 - 25110 - 25115 - 26081 - 26509 - 27000 - 27434 - 28606 - 28893 - 28951 - 28970, 63 - 51 (595) - 52 (596) - 53 (597) - 54 (598) - 55 (599) - 56 (600) - 57 (601) - 58 (602) - 59 (603) - 60 (604) - 61 (605) - 62 (606) - 64 (607) - 65 (608) - 66 (609) - 67 (610) - 68 (611) - 69 (612) - 71 (613) - 72 (614), 598, 167 (1040)"
Biblioteca Ambrosiana,Milà,A 5 Sup. - A 66 Inf. - A 70 Inf. - A 208 Inf. - A 268 Inf. - A 50 Suss. - A 206 Suss. - A 229 Suss. - C 28 Inf. - D 130 inf. - D 216 Inf. - D 248 Inf. - D 369 Inf. - D 465 Inf. - D 512 Inf. - D 535 Inf. - D 549 Inf. - E 4 Sup. - G 66 Inf. - G 103 Suss. - H 8 Inf. - H 71 Inf. - I 34 Inf. - I 66 Inf. - I 117 Sup. - I 121 Inf. - I 153 Inf. - N 4 Sup. - N 5 Sup. - N 81 Sup. - N 101 Sup. - N 184 Sup. - N 185 Sup. - N 186 Sup. - N 223 Sup. - N 250 Sup. - N 259 Sup. - N 260 Sup. - O 7 Sup. - O 10 Sup. - O 12 Sup. - O 87 Sup. - O 91 Sup. - P 79 Sup. - P 148 Sup. - P 173 Sup. - P 198 Sup. - P 217 Sup. - Q 118 Sup. - Q 119 Sup. - R 90 Sup. - R 94 Sup. - R 98 Sup. - R 105 Sup. - R 106 Sup. - R 116 Sup. - R 118 Sup. - R 126 Sup. - S 99 Sup. - V 47 sup. - Y 21 Sup.
Biblioteca Antoniana,Pàdua,XXIII 617
Biblioteca Ariostea,Ferrara,"I, 283"
Biblioteca Balear (Monestir de la Real),Palma,BB-II-351 - BB-II-356 - BB-??1 - BB-??2 - Misc. 16 - 1 - 5 - 6 - 7 - 10 - 12 - 8 (9?)
Biblioteca Bartolomé March,Palma,"B102-V3-3 - B99-VI-18 - B105-VI-25 - 103-A-3 - 99-V1-2 - 99-V1-3 - 99-V1-6 - 99-V1-9 - 102-V2-1 - 102-V2-2 - 102-V2-3 - 102-V3-1 - 96-V1-16 - 105-V1-26, (Mss. en depòsit a la Biblioteca Bartolomé March)"
Biblioteca Capitolare,Pàdua,A.39 - B.38 - C.79
Biblioteca Capitular,Saragossa,1257
Biblioteca Capitular,Toledo,21-7 - 96-31 - 96-32 - 96-39 - 22-23 Zelada - 47-25 Zelada
Biblioteca Casanatense,Roma,43 - 657 - 776 - 1022 - 1414 - 1533 - 1535 - 1589 - 2229 - 3567
Biblioteca Centrale della Regione Siciliana,Palerm,II. B. 21
Biblioteca Civica,Pàdua,A 4 - CM 600
Biblioteca Civica,Verona,606 (521-523)
Biblioteca Civica Berio,Gènova,III/1/31
Biblioteca Civica Bertoliana,Vicenza,328
Biblioteca Civica L. Lagorio,Imperia (Itàlia),3 (7)
Biblioteca Civica Queriniana,Brescia,G.II.10 - I.III.23/4
Biblioteca Classense,Ravenna,388 - 437
Biblioteca Colombina,Sevilla,7-4-5 - 7-7-8 - 5-1-28 - 5-1-42 - 5-1-46 - 5-3-26 - 5-4-48 - 5-6-35 - 7-2-27 - 7-6-41 - 141-23-14 - 141-23-15
Biblioteca Communale,Foligno,C 47
Biblioteca Comunale,Bolonya,A.2637
Biblioteca Comunale,Fermo,19
Biblioteca Comunale,Palerm,4.Qq.A.10
