Biblioteca,Ciutat,Manuscrits,lat,lng
Academia das Ciências,Lisboa,ms. 184,38.7132539,-9.1498358
Archivio di Stato,Reggio-Emilia,7,44.6984449,10.6346788
Archivio di Stato,Torí,Jb-II-19,45.07095265,7.6884271162463875
Archivo Histórico Nacional,Madrid,"L.970, lligall 970, 4460/6",40.4406629,-3.687047314775925
Arxiu Nacional de Catalunya,Sant Cugat del Vallès,"ANC1-168-T-1198, ANC1-75. Reg. 4236",41.4656387,2.069235997308617
Arxiu de la Corona d'Aragó,Barcelona,"692, 129, 159, II-A-2 (a), reg. 2609, Frag. 89, II-A-2 (b), Lligall 64",41.38403915,2.1770410875289437
Arxiu del Regne de Mallorca,Palma,"Lul·lisme 1, Lul·lisme 2/1, 333, doc. 11'",39.568459649999994,2.6538960108311223
Badische Landesbibliothek,Karlsruhe,"92, Aug. Pap. 32, Aug. Pap. 61",49.007797800000006,8.398882320384343
Bayerische Staatsbibliothek,Munic,"4381, 5936, 10493, 10494, 10495, 10496, 10497, 10498, 10499, 10500, 10501, 10502, 10503, 10504, 10505, 10506, 10507, 10508, 10509, 10510, 10511, 10512, 10513, 10514, 10515, 10516, 10517, 10518, 10519, 10520, 10521, 10522, 10523, 10524, 10525, 10526, 10527, 10528, 10529, 10530, 10531, 10532, 10533, 10534, 10535, 10536, 10537, 10538, 10539, 10540, 10541, 10542, 10543, 10544, 10545, 10546, 10547, 10548, 10549, 10550, 10551, 10552, 10553, 10554, 10561, 10562, 10563, 10564, 10565, 10566, 10567, 10568, 10569, 10570, 10571, 10573, 10574, 10575, 10576, 10577, 10578, 10579, 10580, 10581, 10582, 10583, 10584, 10585, 10586, 10587, 10588, 10589, 10590, 10591, 10592, 10593, 10594, 10595, 10596, 10597, 10598, 10599, 10600, 10601, 10651, 10652, 10653, 10654, 10655, 10661, 11031, 11032, 14111, 14260, 14524, 18445, 18446, 18988, 18991, 19820, 19857, 23802, 23880, 24111, 24608, 25103, 25105, 25110, 25115, 26081, 26509, 27000, 27434, 28606, 28893, 28951, 28970, 63, 51 (595), 52 (596), 53 (597), 54 (598), 55 (599), 56 (600), 57 (601), 58 (602), 59 (603), 60 (604), 61 (605), 62 (606), 64 (607), 65 (608), 66 (609), 67 (610), 68 (611), 69 (612), 71 (613), 72 (614), 598, 167 (1040)",48.14739965,11.580600141379273
Biblioteca Ambrosiana,Milà,"A 5 Sup., A 66 Inf., A 70 Inf., A 208 Inf., A 268 Inf., A 50 Suss., A 206 Suss., A 229 Suss., C 28 Inf., D 130 inf., D 216 Inf., D 248 Inf., D 369 Inf., D 465 Inf., D 512 Inf., D 535 Inf., D 549 Inf., E 4 Sup., G 66 Inf., G 103 Suss., H 8 Inf., H 71 Inf., I 34 Inf., I 66 Inf., I 117 Sup., I 121 Inf., I 153 Inf., N 4 Sup., N 5 Sup., N 81 Sup., N 101 Sup., N 184 Sup., N 185 Sup., N 186 Sup., N 223 Sup., N 250 Sup., N 259 Sup., N 260 Sup., O 7 Sup., O 10 Sup., O 12 Sup., O 87 Sup., O 91 Sup., P 79 Sup., P 148 Sup., P 173 Sup., P 198 Sup., P 217 Sup., Q 118 Sup., Q 119 Sup., R 90 Sup., R 94 Sup., R 98 Sup., R 105 Sup., R 106 Sup., R 116 Sup., R 118 Sup., R 126 Sup., S 99 Sup., V 47 sup., Y 21 Sup.",45.4636207,9.1860483
Biblioteca Ariostea,Ferrara,"I, 283",44.8326967,11.621702
Biblioteca Capitular,Saragossa,1257,41.6554083,-0.8759621
Biblioteca Casanatense,Roma,"43, 657, 776, 1022, 1414, 1533, 1535, 1589, 2229, 3567",41.8986182,12.4793551
Biblioteca Centrale della Regione Siciliana,Palerm,II. B. 21,38.1143903,13.358093
